name,service_center_id,display_order,is_active_flag,site_id,wing_id,floor_id
DAY CARE B - 1F,27226115,6,1,3562087,0,1
DAY CARE C - 1F,27226095,7,1,3562087,0,1
EXECUTIVE - 2F,27226130,8,1,3562087,0,2
NEUTROPENIC  - 2F,27226133,9,1,3562087,0,2
PREMIUM - 2F,27226136,10,1,3562087,0,2
STANDARD - 2F,27226139,11,1,3562087,0,2
BMT - 3F,27226145,12,1,3562087,0,3
ICU 3A - 3F,27226142,13,1,3562087,0,3
ICU 3B - 3F,27226286,14,1,3562087,0,3
ICU 3C - 3F,42087632,15,1,3562087,0,3
ICU 1C,43914264,16,1,3562087,0,3
ICU 1D,42885215,17,1,3562087,0,3
PREMIUM - BF,27226091,18,1,3562087,0,0
DELUXE,34579094,19,1,3562087,0,0
EMERGENCY WARD-GF,99758188,20,1,3562087,0,0
PETSCAN,27243848,21,1,3562087,0,0
